iter	min_F(1)	max_F(1)	ka(1)	ke(1)	F(1)	SD_C_central(1)	SD_AUC(1)	LnPrior	LnData	LnPosterior
149	0.30198	0.546707	0.221204	0.0334788	0.416977	0.109997	0.105919	6.437764e+00	-1.968894e+02	-1.904517e+02
150	0.327363	0.546707	0.221204	0.0334788	0.416977	0.109997	0.108907	6.584305e+00	-1.956682e+02	-1.890839e+02
151	0.263354	0.602134	0.221204	0.0334788	0.41149	0.109997	0.108907	6.058695e+00	-1.954212e+02	-1.893625e+02
152	0.329681	0.602134	0.221204	0.0334788	0.41149	0.109997	0.108907	6.370934e+00	-1.954212e+02	-1.890503e+02
153	0.329681	0.621912	0.221204	0.0334788	0.41149	0.109722	0.108907	6.300858e+00	-1.964442e+02	-1.901433e+02
154	0.329681	0.709656	0.221204	0.0334788	0.41149	0.109722	0.108907	6.038296e+00	-1.964442e+02	-1.904059e+02
155	0.329681	0.997703	0.221204	0.0334788	0.41149	0.109722	0.108907	5.474080e+00	-1.964442e+02	-1.909701e+02
156	0.329681	0.869757	0.221204	0.0334788	0.41149	0.109722	0.108907	5.686692e+00	-1.964442e+02	-1.907575e+02
157	0.370807	0.676466	0.221204	0.0334788	0.41149	0.109811	0.108907	6.319248e+00	-1.961110e+02	-1.897917e+02
158	0.384706	0.733929	0.22492	0.0334788	0.41149	0.109943	0.106794	6.205703e+00	-1.966871e+02	-1.904814e+02
159	0.384706	0.418932	0.228608	0.0334788	0.405333	0.109943	0.106794	8.525789e+00	-1.971491e+02	-1.886233e+02
160	0.299268	0.757385	0.228608	0.0334788	0.405333	0.109943	0.106794	5.801633e+00	-1.971491e+02	-1.913474e+02
161	0.345145	0.508378	0.228608	0.0334788	0.405333	0.109943	0.106794	6.901296e+00	-1.971491e+02	-1.902478e+02
162	0.402104	0.508378	0.228608	0.0334788	0.405333	 0.11	0.106794	7.421447e+00	-1.969421e+02	-1.895207e+02
163	0.402104	0.431657	0.228608	0.0334788	0.41103	 0.11	0.106794	8.701270e+00	-1.967947e+02	-1.880935e+02
164	0.402104	0.431657	0.234122	0.0334788	0.41103	 0.11	0.106794	8.697319e+00	-1.976398e+02	-1.889425e+02
165	0.402104	0.431657	0.208626	0.0334788	0.410029	 0.11	0.107721	8.715388e+00	-1.975692e+02	-1.888539e+02
166	0.402104	0.431657	0.208626	0.0334788	0.411273	 0.11	0.107721	8.715388e+00	-1.973720e+02	-1.886566e+02
167	0.402104	0.431657	0.208626	0.0334788	0.421748	0.10979	0.107721	8.715388e+00	-1.977336e+02	-1.890182e+02
